apartment_id,issue_type,severity,status,assigned_team,reported_date,resolution_eta
Tower-D-F4U8,AC issue,medium,escalated,Customer Support,2026-05-02,2026-05-04
Tower-F-F6U2,plumbing,medium,in_progress,HVAC Services,2026-03-24,2026-03-25
Tower-E-F17U5,plumbing,high,resolved,HVAC Services,2026-04-03,
Tower-F-F4U1,AC issue,medium,closed,HVAC Services,2026-04-14,
Tower-F-F19U2,parking access,low,closed,Facilities Management,2026-04-24,
Tower-B-F12U3,electricity,low,open,Facilities Management,2026-04-09,2026-04-28
Tower-A-F2U1,parking access,medium,open,Electrical Maintenance,2026-04-08,2026-04-24
Tower-B-F2U7,elevator malfunction,medium,resolved,Customer Support,2026-04-07,
Tower-C-F9U2,electricity,medium,resolved,Plumbing & Sanitary,2026-04-29,
Tower-B-F8U1,AC issue,high,open,HVAC Services,2026-04-18,2026-05-03
Tower-C-F3U8,elevator malfunction,low,resolved,HVAC Services,2026-03-24,
Tower-F-F20U4,common area cleaning,critical,resolved,Electrical Maintenance,2026-04-22,
Tower-F-F18U4,water leakage,low,open,HVAC Services,2026-04-02,2026-04-16
Tower-F-F1U6,AC issue,low,closed,Facilities Management,2026-03-24,
Tower-B-F14U8,electricity,low,in_progress,Electrical Maintenance,2026-03-27,2026-04-05
Tower-E-F14U6,electricity,medium,open,Customer Support,2026-04-22,2026-05-11
Tower-D-F3U1,AC issue,low,in_progress,HVAC Services,2026-04-20,2026-04-28
Tower-D-F11U6,elevator malfunction,low,resolved,Electrical Maintenance,2026-04-21,
Tower-B-F19U2,common area cleaning,medium,open,Elevator & Lifts,2026-04-02,2026-04-08
Tower-A-F18U6,AC issue,medium,in_progress,Plumbing & Sanitary,2026-05-12,2026-05-27
Tower-A-F6U5,elevator malfunction,high,escalated,HVAC Services,2026-05-15,2026-05-17
Tower-B-F3U4,water leakage,medium,closed,HVAC Services,2026-04-15,
Tower-B-F1U7,elevator malfunction,low,closed,Plumbing & Sanitary,2026-05-17,
Tower-B-F4U1,elevator malfunction,high,in_progress,HVAC Services,2026-03-27,2026-04-01
Tower-F-F21U2,electricity,low,escalated,Plumbing & Sanitary,2026-04-30,2026-05-09
Tower-B-F21U8,parking access,low,in_progress,Elevator & Lifts,2026-05-14,2026-05-17
Tower-A-F6U7,common area cleaning,low,closed,Customer Support,2026-05-15,
Tower-D-F6U6,AC issue,medium,in_progress,Electrical Maintenance,2026-04-06,2026-04-15
Tower-A-F20U4,common area cleaning,medium,resolved,Facilities Management,2026-05-04,
Tower-D-F2U2,plumbing,medium,closed,Customer Support,2026-04-10,
Tower-E-F8U1,common area cleaning,medium,resolved,Elevator & Lifts,2026-04-17,
Tower-C-F19U6,plumbing,low,resolved,Facilities Management,2026-04-17,
Tower-B-F1U5,parking access,high,closed,Electrical Maintenance,2026-03-27,
Tower-B-F4U4,water leakage,high,in_progress,Electrical Maintenance,2026-05-05,2026-05-14
Tower-E-F13U6,elevator malfunction,medium,in_progress,Customer Support,2026-05-22,2026-05-28
