tower,phase,completion_percent,status,delay_days,delay_reason,risk_level,contractor,expected_completion,last_updated
Tower B,Phase 2,72,delayed,14,material delivery issues,high,L&T Construction,2026-09-30,2026-05-23
Tower E,Phase 1,78,delayed,40,equipment breakdown,high,Sobha Developers,2027-11-24,2026-05-13
Tower B,Phase 2,95,on_track,0,none,high,Brigade Builders,2026-10-23,2026-04-26
Tower C,Phase 1,45,on_hold,51,labour shortage,high,Puravankara Projects,2027-05-01,2026-05-07
Tower D,Phase 3,55,on_track,0,none,medium,Brigade Builders,2027-06-06,2026-05-06
Tower C,Phase 4,41,delayed,44,monsoon impact,low,Prestige Constructions,2027-06-07,2026-05-16
Tower F,Phase 2,54,on_hold,15,equipment breakdown,high,Prestige Constructions,2027-08-14,2026-05-23
Tower F,Phase 4,64,delayed,41,design revision,high,Shapoorji Pallonji,2027-07-23,2026-05-14
Tower F,Phase 4,46,ahead_of_schedule,0,none,high,Prestige Constructions,2028-01-23,2026-04-23
Tower C,Phase 4,62,on_track,0,none,medium,Shapoorji Pallonji,2027-03-05,2026-04-27
Tower B,Phase 1,47,on_track,0,none,high,Sobha Developers,2027-07-31,2026-04-27
Tower E,Phase 2,55,on_track,0,none,low,L&T Construction,2027-11-12,2026-05-06
Tower C,Phase 4,65,delayed,42,monsoon impact,high,Sobha Developers,2027-04-17,2026-04-30
Tower C,Phase 4,95,on_hold,33,design revision,high,Prestige Constructions,2027-12-06,2026-05-17
Tower D,Phase 2,88,on_track,0,none,low,Shapoorji Pallonji,2028-05-01,2026-05-20
Tower C,Phase 1,96,on_track,0,none,medium,L&T Construction,2028-01-31,2026-05-02
Tower A,Phase 2,69,ahead_of_schedule,0,none,medium,L&T Construction,2027-11-11,2026-05-23
Tower B,Phase 4,79,ahead_of_schedule,0,none,low,Brigade Builders,2026-10-14,2026-05-09
Tower C,Phase 2,45,on_track,0,none,medium,Prestige Constructions,2026-09-18,2026-05-22
Tower A,Phase 2,77,ahead_of_schedule,0,none,low,Prestige Constructions,2026-09-29,2026-05-22
Tower D,Phase 1,52,delayed,33,regulatory approval pending,high,Prestige Constructions,2026-09-09,2026-04-29
Tower B,Phase 3,89,on_track,0,none,low,Prestige Constructions,2027-04-21,2026-04-26
Tower A,Phase 1,93,on_track,0,none,low,Sobha Developers,2028-01-14,2026-05-10
Tower A,Phase 3,65,delayed,12,monsoon impact,high,Sobha Developers,2027-04-24,2026-05-06
Tower B,Phase 1,45,delayed,26,material delivery issues,high,Brigade Builders,2027-09-24,2026-04-24
Tower F,Phase 1,82,on_track,0,none,medium,L&T Construction,2027-08-21,2026-05-04
Tower B,Phase 3,48,delayed,24,labour shortage,low,Puravankara Projects,2027-02-16,2026-05-07
Tower F,Phase 1,58,on_track,0,none,low,L&T Construction,2027-12-02,2026-05-02
Tower B,Phase 3,60,on_track,0,none,low,Sobha Developers,2027-07-04,2026-05-05
